Contexto,Pergunta,Resposta,source_file,stringFilter,isAlign,isEnv,isSocial,isGovernance,isGeneral,Comentários
"This historic victory highlights Belize’s leadership in preserving ocean abundance and biodiversity, and truly valuing and protecting the livelihoods of the many people who depend on the seas.",How does the initiative in Belize reflect broader environmental goals tied to ESG principles?,"It reflects a commitment to protecting biodiversity and ensuring the sustainability of marine resources, which are essential components of environmental stewardship within ESG principles.",ESGBERT/environment_data,none,1,1,0,0,0,"Por mais que a resposta seja condizente com a pergunta, sinto que a forma que ele pergunta deixa alguns pontos a serem questionados que, sem o contexto, são mais dificeis de se responder. O ponto principal seria o fato de que a pergunta não menciona a que iniciativa de Belize a pargunta se refere, o que abre interpretação para diversas iniciativas realizadas em Belize."
"To target the continued issue of ivory souvenirs, we produced an awareness campaign that highlighted the illegality of bringing ivory products into China.",What specific issue did the awareness campaign aim to address?,The awareness campaign aimed to address the issue of ivory souvenirs.,ESGBERT/governance_data,none,1,0,1,0,0,Poderia ser literalmente qualquer campanha se tirassemos o contexto.
"Supplemented by our robust resources, the success of our Company is bolstered by employee training, an inclusive culture, and a diverse workforce.",What role does workforce diversity play in the Company’s success?,Workforce diversity plays a significant role in the Company’s success by contributing to an inclusive culture and overall performance.,ESGBERT/social_data,none,1,0,1,0,0,"A pergunta teria sido ótima, se no lugar de pergunta sobre uma companhia em especifico, fosse perguntado sobre empresas no geral."
"Through a range of mutually reinforcing initiatives, we’re creating a pipeline from college to career to the C-suite for young people who have long been overlooked and otherwise not included in the conservation world.",What group is the focus of these conservation-related initiatives?,The focus is on young people who have long been overlooked and otherwise not included in the conservation world.,ESGBERT/environment_data,none,1,1,1,0,0,"Ele fala ""these conservation-related initiatives"" e só é possível saber do que ele está falando após ler o contexto."
Wom en for Wildl ife supported the launch of Women for Conservation Botswana and cohosted its first leadership workshop for 15 Indigenous women in that country.,How many Indigenous women participated in the first leadership workshop in Botswana?,Fifteen Indigenous women.,ESGBERT/social_data,none,1,0,1,0,0,"A pergunta parece ser muito específica, procurando o número de mulheres indígenas que participaram da primeira edição de um workshop em Botswana. Com o contexto, se torna muito fácil de responder, porém sem ele, a pergunta se torna especifica demais."
"One of our eight core values is Do The Right Thing, which drives our associates to find new ways that our organization can reduce its environmental impact.",What is the organization's guiding principle that motivates efforts to reduce environmental impact?,"The guiding principle is the core value of \""Do The Right Thing.\""",ESGBERT/governance_data,none,1,1,0,0,0,Que organização? Isso só é explicado no contexto.
"This sweeping, once-in-a-generation bill includes billions of dollars for advancing clean-energy technology and transportation, boosting climate resilience in communities across the country, investing in natural infrastructure projects, improving the health of forests, and more.",What are some of the key areas the bill focuses on to address environmental concerns?,"The bill focuses on advancing clean-energy technology, improving transportation, boosting climate resilience, investing in natural infrastructure projects, and improving the health of forests.",ESGBERT/environment_data,none,1,1,0,0,0,Para entender o que a pergunta quer é necessário ler o contexto.
"With and 25 speakers, OMG Accelerate is uniquely designed to equip participants with the skills and network required to lead the agency of the future.",How many speakers are involved in the OMG Accelerate event?,The OMG Accelerate event involves 25 speakers.,ESGBERT/governance_data,none,1,0,0,0,0,"Pergunta bem específica, por mais que fale de qual evento, não fala sobre qual das edições do evento, o que torna a resposta dependente do contexto. Além disso, não vejo como essa pergunta se relaciona com o contexto ESG. "
"We are so honored to have been able to pair so many veterans before the crisis, helping them in these difficult times.",What does the statement suggest about the timing of the support provided to veterans?,The statement suggests that the support was provided before the crisis occurred.,ESGBERT/governance_data,none,1,0,1,1,0,"Impossível de responder sem o contexto, pergunta muito dependente dele."
"And through legal work, we helped maintain a moratorium on leasing public land in California to oil companies.",What role did legal advocacy play in the decision to maintain the moratorium?,Legal advocacy played a key role in maintaining the moratorium by supporting the legal basis and enforcement of the policy.,ESGBERT/governance_data,none,1,0,0,1,0,Pergunta muito dependente do contexto.
"A coalition of more than a dozen groups worked for years to conserve the area, including the Programme for Belize, the University of Belize Environmental Research Institute, the Bobolink Foundation, the Rainforest Trust, The Wyss Foundation and TNC.",Which organizations were involved in the conservation efforts of the area?,"The organizations involved in the conservation efforts included the Programme for Belize, the University of Belize Environmental Research Institute, the Bobolink Foundation, the Rainforest Trust, The Wyss Foundation, and TNC.",ESGBERT/environment_data,none,1,1,0,1,0,Pergunta dependente do contexto.
"Maloha LLC Monarch Mountain New Leaf Detox and Treatment Inc. Northrop Grumman Outbound Financial PAPER PROJECT PBWS Architects Rapid Axis Rare Collectibles TV, LLC Rebellion Energy Services Operating, LLC Red House Architecture Roundup Riders of the Rockies Heritage and Trails Foundation Sandler O’Neill + Partners SequoiaCX Snowshoe Mountain StarQuest Group StayOver Management Strong Tower Consulting Tarbell Family Foundation Team Lawler Customs The Desert Leaf The von Gontard Family Foundation Timberline Lodge TypeHaus, Inc. Ultra Creative, Inc. WaiverSign Walking in Nature Walmart Wild Tribute Wine Nook Woodlake Outdoor, Inc.",Which entity might have a role in promoting environmental stewardship through its operations?,Walking in Nature might have a role in promoting environmental stewardship through its operations.,ESGBERT/governance_data,none,1,1,0,0,0,"A pergunta é possível de responder sem o contexto, mas a resposta poderia não ser a resposta que é procurada, já que poderia ter mais de uma entidade para esse caso."
"CG-MR- (1) For eligible jewelry consultants in the US, our total average hourly wage is $20.55.",Which group of workers in the US is reported to have an average hourly wage of $20.55?,Eligible jewelry consultants in the US.,ESGBERT/social_data,none,0,0,1,0,1,"A pergunta está marcada como desalinhada, porém acho que o par é bem condizente, meu único problema é que a pergunta não especifica uma data, então dependendo da pesquisa e de quando ela for realizada, pode ser que a resposta encontrada seja outra. Além disso, talvez ela por si só seja meio problemática, não sei qual seria o objetivo de uma pergunta dessas."
E Describe the board’s oversight of climate-related risks and opportunities.,Why is it important for the board to engage with climate-related risks?,"It is important because climate-related risks can significantly affect the organization’s strategy, operations, and financial performance, requiring proactive governance and decision-making.",ESGBERT/governance_data,none,1,1,0,0,0,"Ele se refere a um ""board"", mas só dá para entender qual ""board"" ele se refere."
"Our Supplier Code of Conduct establishes our expectations for ethical behavior at our suppliers, including anti-corruption policies and clauses on human rights.",What specific areas of ethical behavior does the Supplier Code of Conduct emphasize?,The Code emphasizes anti-corruption policies and the inclusion of human rights clauses.,ESGBERT/governance_data,none,1,0,0,1,0,Não é possível saber a qual código ele se refere pela pergunta.
"Our inaugural fellows, Tepoerau Mai and Te Aomihia Walker, have used their fellowships as launchpads to secure scholarships to further their education and research.",How have the fellowships contributed to the professional development of Tepoerau Mai and Te Aomihia Walker?,The fellowships have contributed to their professional development by acting as launchpads for securing further educational and research opportunities.,ESGBERT/social_data,none,1,0,1,0,0,"The fellowships está meio ambíguo, por mais que possa ser interpretado como bolsas, no geral, o contexto dá a entender que seria algo mais específico, por isso, acredito que haja uma dependencia do contexto."
"As his family struggled to reclaim some sense of normal life and be reunited with Roscoe, we worked with our sheltering partners to care for him.",What support was provided to ensure Roscoe's well-being during his family's efforts to reunite?,Sheltering partners were involved to care for Roscoe.,ESGBERT/social_data,none,1,0,0,1,0,Não entendi muito bem como a pergunta se encaixa no contexto ESG.
"01 9 In 2021, a bold partnership of The Nature Conservancy, The Pew Charitable Trusts, the World Wildlife Fund and ZOMALAB began taking aim at dramatically increasing the pace and scale of nature protection.",How could this 2021 partnership contribute to environmental sustainability goals?,"By accelerating and expanding efforts to protect nature, the partnership could contribute to environmental sustainability through enhanced conservation practices and increased ecological resilience.",ESGBERT/environment_data,none,1,1,0,0,0,Não é possível saber a qual partnership ele se refere sem o contexto.
"With that in mind, Ult im at e Civics has been deep in development with the Cloud Institute for Sustainability Education to create lesson material about using civic power as responsible citizens to shape, operate, and maintain an equitable and more sustainable democracy for all.",Which group is Ultimate Civics partnering with to develop civic education content?,Ultimate Civics is partnering with the Cloud Institute for Sustainability Education.,ESGBERT/social_data,none,1,1,0,0,0,"Acho que o grande problema da pergunta é uma falta de mencionar a época, dependendo da época que a pergunta for feita, a resposta poderia variar."
"ISSUE SUMMARY Earthjustice and community groups reached a landmark settlement with the developer of a massive warehouse to invest $vehicles and equipment, rooftop solar, and other solutions that will electrify the facility and reduce harms to local air quality, wildlife, and the climate.",What kind of environmental improvements will the developer invest in to reduce harms to the local environment?,"The developer will invest in vehicles and equipment, rooftop solar, and other solutions to electrify the facility and reduce harms to local air quality, wildlife, and the climate.",ESGBERT/social_data,none,1,1,1,0,0,Que desenvolvedor? Só é possível saber no contexto.
"We will work to identify similarly resilient environments and reefs across the world’s oceans, and encourage our government and community partners to focus conservation efforts on these safe havens.",What kind of environments is the initiative aiming to identify?,The initiative is aiming to identify resilient environments and reefs.,ESGBERT/social_data,none,1,1,1,0,0,Só é possível saber sobre a iniciativa pelo contexto.
"ANTI-CORRUPTION Principle 10: Businesses should work against corruption in all its forms, including extortion and bribery.","According to Principle 10, what specific unethical practices should businesses actively oppose?",Businesses should actively oppose extortion and bribery.,ESGBERT/governance_data,none,1,0,1,0,0,Dificil de saber de onde vem o principio.
"• Co-created a toolkit for senior centers to incorporate ridesharing into community transportation strategies through an initiative with Lyft and senior center partners, informed by a multi-site pilot.",What partnership was developed to help senior centers integrate ridesharing into their community transportation strategies?,A partnership with Lyft and senior center partners was developed to co-create a toolkit for incorporating ridesharing into community transportation strategies.,ESGBERT/social_data,none,1,0,1,0,0,"Como não é especificado um local/uma data, é possível que a resposta encontrada para pergunta não fosse a requerida."
Early-career recruitment program participants typically learn about the end-to-end talent acquisition process and talent management consulting methodologies.,What type of training do early-career recruitment program participants typically receive?,Early-career recruitment program participants generally learn about the end-to-end talent acquisition process and talent management consulting methodologies.,ESGBERT/governance_data,none,1,0,1,0,0,"A pergunta poderia ser respondida de várias formas, sendo assim, para que a resposta correta seja dada, há uma dependência do contexto"
"Supplemented by our robust resources, the success of our Company is bolstered by employee training, an inclusive culture, and a diverse workforce.",How does the Company support the development of its employees?,The Company supports the development of its employees through robust resources and employee training.,ESGBERT/social_data,none,1,0,1,0,0,Depende do contexto para ser respondida.
"In approximately 36% of our U.S. new hires were women, while more than 57% of U.S. new hires were from an underrepresented minority group.",What percentage of U.S. new hires were from an underrepresented minority group?,More than 57%.,ESGBERT/social_data,none,1,0,1,0,0,"Como se trata de uma estatistica, a data para qual a pergunta está sendo feita é relevante. Além disso, sinto que o par poderia dar um bias para o modelo."
Our team of analysts and animal welfare scientists helps ensure that our efforts make the greatest impact—and that your dollars do the most good for animals.,How does the organization ensure that contributions are used effectively?,The organization uses a team of analysts and animal welfare scientists to ensure that contributions are used in a way that maximizes their impact for animals.,ESGBERT/social_data,none,1,1,1,0,0,Depende muito do contexto.
"Veterans and firefighters came out to support our efforts to bring awareness to the issue, even testifying along with EWG in congressional hearings.",Which groups provided public support to the efforts to raise awareness about the issue?,Veterans and firefighters provided public support to the efforts to raise awareness about the issue.,ESGBERT/governance_data,none,1,0,0,0,0,"Mesmo com o contexto a pergunta sobre ""qual o problema que ele se refere?"" permanece"
EDF has highlighted the urgency of this issue and is helping lead the way to effective solutions.,What role is EDF playing in addressing urgent environmental issues?,EDF is helping lead the way to effective solutions.,ESGBERT/governance_data,none,1,1,0,1,0,"Acho que a pergunta depende muito do momento e como não tem uma data na pergunta, isso pode fazer com que ela seja um par ruim."
", we are committed to acting ethically and in compliance with laws as we make decisions and interact amongst ourselves, our customers, our sup pliers and our communities.",What guiding principles does the organization emphasize in its decision-making and interactions?,The organization emphasizes acting ethically and in compliance with laws in its decision-making and interactions.,ESGBERT/governance_data,none,1,0,0,1,0,A pergunta depende muito do contexto.
"fighting to protect their water, their community and our future.",How does the community’s action relate to broader ESG principles?,The community’s action relates to broader ESG principles by addressing environmental sustainability and social responsibility through the protection of natural resources and community well-being.,ESGBERT/social_data,none,1,1,1,1,0,"Está bem dependente do contexto e, além disso, o contexto está bem ruim."
"Kicking off the year, these ambassadors are leveraging school assets and local connections to plan and implement outdoor activities to engage their campus community, impacting more than 200 college students.",How are the ambassadors engaging the campus community?,By planning and implementing outdoor activities.,ESGBERT/social_data,none,1,0,1,0,0,A pergunta parece ser bem dependente do contexto.
"Soon after the board vote, EDF announced a partnership with Legal & General Investment Management America, the American arm of the world’s investment management firm.",What is the relationship between Legal & General Investment Management America and the global investment firm?,Legal & General Investment Management America is the American arm of the world’s investment management firm.,ESGBERT/governance_data,none,1,0,0,1,0,A resposta não parece fazer sentido com a pergunta.
"Through a program called PAMSIMAS, the government provides stimulants for villages to develop community-based water supply and sanitation systems in rural areas.",What initiative supports the development of community-based water supply and sanitation systems in rural areas?,The PAMSIMAS program supports the development of community-based water supply and sanitation systems in rural areas.,ESGBERT/social_data,none,1,1,1,1,0,Podem facilmente existir várias iniciativas diferentes pelo mundo que fazem o que é perguntado.
"We also worked together with local villagers, the National Trust of Fiji, and other partners to develop a management plan to protect the area in the future.",What kind of collaboration was established to ensure the long-term protection of the area?,"A collaborative effort was established with local villagers, the National Trust of Fiji, and other partners.",ESGBERT/governance_data,none,1,0,0,1,0,Pergunta completamente dependente do contexto.
"Online, the Journal highlighted the work of activists fighting fossil fuel companies and demanding bold climate action; reported on the ongoing persecution of apex predators in the U.S.; and dedicated a large share of its coverage to issues at the intersection of race, gender, poverty, and environment.",What types of environmental and social issues does the Journal emphasize in its coverage?,"The Journal emphasizes issues at the intersection of race, gender, poverty, and the environment, along with climate action and the protection of apex predators.",ESGBERT/social_data,none,1,1,1,0,0,Pergunta completamente dependente do contexto.
"our long-standing commitment to responsible, ethical business practices and upholding the Ten Principles of the UN Global Compact on human rights, labour, environment, and anti-corruption.",What areas does the organization emphasize in its ethical business practices?,"The organization emphasizes human rights, labour, environment, and anti-corruption in its ethical business practices.",ESGBERT/social_data,none,1,1,1,1,0,Pergunta completamente dependente do contexto.
"Mice—even those raised in standard, mostly barren “shoebox” cages—responded well when provided early life access to play areas.",What kind of environment were the mice initially kept in?,"The mice were initially kept in standard, mostly barren \""shoebox\"" cages.",ESGBERT/governance_data,none,1,1,0,0,0,Pergunta completamente dependente do contexto.
"In the event that we identify a security issue, we have defined procedures to respond and recover as quickly as possible.",What does the organization aim to achieve through its defined procedures for security issues?,The organization aims to respond and recover as quickly as possible.,ESGBERT/governance_data,none,1,0,0,1,0,Pergunta completamente dependente do contexto.
The numbers above are preliminary and are subject to change upon audit.,Under what condition could the numbers change?,The numbers could change upon audit.,ESGBERT/governance_data,none,1,0,0,0,0,Pergunta completamente dependente do contexto.
However by carbon emissions may have already reached levels that could spark catastrophic impacts.,What issue is highlighted as being potentially critical for global environmental stability?,Carbon emissions are highlighted as being potentially critical for global environmental stability.,ESGBERT/governance_data,none,1,1,0,0,0,"Essa aqui é quase boa, mas eu sinto que a forma que a pergunta é feita dá muita margem para erro."
"Subsequently, the USFWS released four captive wolves and fostered four red wolf pups with a wild female wolf, doubling the population, which had fallen from over a hundred in last year.",What does this conservation effort illustrate about the USFWS’s commitment to biodiversity?,This conservation effort illustrates the USFWS’s proactive commitment to preserving and restoring endangered species like the red wolf.,ESGBERT/social_data,none,1,1,0,0,0,Pergunta depende bastante do contexto.
"We also continue to make investments in our associates – recent actions include our decision at the end of transition our COVID-related enhanced associate pay and benefits to permanent compensation enhancements for frontline, hourly associates.",Which group of associates received permanent compensation enhancements as a result of this decision?,"Frontline, hourly associates received permanent compensation enhancements.",ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é muito dependente do contexto
"This material refernces the SASB Restaurants Standard, Version 2018-10.",What does the reference to the SASB Restaurants Standard indicate about the focus of the material?,The reference indicates that the material focuses on governance and sustainability-related disclosures relevant to the restaurant industry.,ESGBERT/governance_data,none,1,1,0,1,0,"""Não é tão útil"" - Gabriel"
"While agreements emerging from negotiations to decarbonize the global economy and accelerate the clean-energy transition ultimately fell short, nations did agree on major initiatives to rein in methane emissions, halt deforestation and make new climate finance pledges.",What was the outcome of the negotiations aimed at accelerating the clean-energy transition?,The negotiations ultimately fell short of their goals for decarbonizing the global economy and accelerating the clean-energy transition.,ESGBERT/environment_data,none,1,1,0,1,0,A pergunta é bastante dependente do contexto.
"Leadership Structure On at least an annual basis, the Board assesses its leadership structure, including the appointment of the Chair of the Board.",How frequently does the Board assess its leadership structure?,The Board assesses its leadership structure on at least an annual basis.,ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é bastante dependente do contexto.
"In 2021, 9.2 million more people in eleven countries now have access to safe water or sanitation.",In what year did the eleven countries see an increase in access to safe water or sanitation?,2021,ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto.
THANK YOU to all of our monitors across the country: you are the first line of defense for clean water.,What kind of environmental issue are the monitors addressing?,The monitors are addressing the issue of water pollution by ensuring the preservation of clean water resources.,ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto.
"That’s why we work to share resources, train animal advocates, and build a welcoming, collaborative community of Changemakers around the world.",What role does training play in the organization's efforts to support animal advocacy?,Training plays a key role in empowering animal advocates as part of the organization's efforts to advance their cause globally.,ESGBERT/social_data,none,1,1,0,1,0,A pergunta é bastante dependente do contexto.
On Target Co-develop designers and talent in the diamond jewelry sector for BIPOC creative design talent in the US by adding five BIPOC-owned companies/brands to our vendor list through co-development.,What specific outcome is the company aiming to achieve through this initiative?,"The company aims to co-develop with and include five BIPOC-owned companies/brands in its vendor list, supporting talent development within the diamond jewelry sector.",ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto.
"With the law in place, she no longer would have been able to access gender-affirming care.",What impact could such restrictions have on individuals seeking gender-affirming care?,Such restrictions could prevent individuals from receiving the care they need.,ESGBERT/social_data,none,1,0,1,1,0,A pergunta é bastante dependente do contexto.
"We will expand our work around the world, increasing our focus on infrastructure through partnerships with water utilities, and continue to break down the financial barriers between people and access to safe water.",What barriers does the organization aim to break down to improve access to safe water?,The organization aims to break down financial barriers.,ESGBERT/environment_data,none,1,1,1,0,0,A pergunta é bastante dependente do contexto.
"And, he says, “Always look up.” It was tough at first, he admits—learning to live with structure, rules, and discipline.",What does the individual’s experience suggest about the challenges of personal growth?,"The individual’s experience suggests that personal growth can involve initial difficulty in embracing structure, rules, and discipline.",ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é bastante dependente do contexto.
All of our suppliers are expected to adhere to our Supplier Code of Conduct.,How is the organization promoting responsible supply chain management?,By requiring all suppliers to adhere to the Supplier Code of Conduct.,ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto.
"With an enhanced Code of Business Conduct rolled out across the Omnicom network in 2018, we then achieved our goal to establish business ethics and antibribery training for our full-time, regular employees worldwide in 2020.",Which group of employees was targeted for business ethics and antibribery training in Omnicor’s global initiative?,"Full-time, regular employees were targeted for the training.",ESGBERT/governance_data,none,1,0,1,1,0,Achei a pergunta meio específica demais.
"Generous donors including the Marisla Foundation, Offield Family Foundation, Orange County Community Foundation, Sue J. Gross Foundation, and others provided the necessary funding to secure this victory.",Which foundations contributed to the funding that secured the victory?,"The Marisla Foundation, Offield Family Foundation, Orange County Community Foundation, and Sue J. Gross Foundation contributed to the funding.",ESGBERT/social_data,none,1,0,0,0,0,A pergunta é bastante dependente do contexto e não parece se relacionar tanto com o contexto ESG
Our zoological health experts determined he needed a root canal to alleviate his discomfort.,Which group of professionals assessed the animal's health condition?,Zoological health experts assessed the animal's health condition.,ESGBERT/social_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
"The Signet Team Member Relief Fund provides assistance, in the form of grants, to eligible Signet team members who have encountered a financial or other hardship for reasons beyond their control.",Under what conditions can Signet team members receive assistance from the Relief Fund?,Signet team members can receive assistance from the Relief Fund if they have encountered a financial or other hardship for reasons beyond their control.,ESGBERT/governance_data,none,1,0,1,1,0,Pergunta específica demais.
We will increase our base wage to $15 per hour by Spring 2022 in the US.,What specific group of workers will benefit from this wage increase?,US employees will benefit from this wage increase.,ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bastante dependente do contexto
We are working to cut greenhouse gas emissions in half by more prosperous world for all.,What kind of progress metric could be used to track success toward this environmental objective?,A progress metric could involve measuring the reduction in total greenhouse gas emissions over time.,ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
This resulted in record award payments to our non-management associates of approximately $739 million.,What was the total amount of record award payments given to non-management associates?,The total amount was approximately $739 million.,ESGBERT/governance_data,none,1,0,0,1,0,O par não parece ser muito útil
This project could add new protected areas and improve management on existing spaces to conserve nearly as well as improve opportunities and resource rights for 10 million people.,How does the project aim to contribute to both environmental conservation and community well-being?,"The project aims to add new protected areas and improve the management of existing spaces, which will help conserve natural resources while also enhancing opportunities and resource rights for 10 million people.",ESGBERT/governance_data,none,1,1,1,1,0,A pergunta é bastante dependente do contexto
I’ve now been doing conservation work for about years helped me improve my skills in real-world situations.,How has engaging in conservation work impacted the individual’s professional development?,Engaging in conservation work has helped the individual improve their skills in real-world situations.,ESGBERT/environment_data,none,1,1,0,0,0,A pergunta é bastante dependente do contexto
"Proxy Statement, Pages Omnicom’s leadership team oversees economic, environmental, social and governance initiatives.",What does the involvement of Omnicom’s leadership team in governance initiatives suggest about the company’s commitment?,It suggests a commitment to integrating governance considerations into the company's overall strategy and operations.,ESGBERT/governance_data,none,1,0,0,1,0,A pergunta é bastante dependente do contexto
