Contexto,Pergunta,Resposta,source_file,stringFilter,isAlign,isEnv,isSocial,isGovernance,isGeneral,Comentários
"Amy Orta-Rivera, Environmental Policy Coordinator for El Puente’s Latino Climate Action Network, photographed in Ceiba, P.R., in April 2021.",What role does Amy Orta-Rivera play in promoting environmental governance within her community?,"Amy Orta-Rivera serves as the Environmental Policy Coordinator for El Puente’s Latino Climate Action Network, actively contributing to environmental governance efforts in her community.",ESGBERT/governance_data,none,1,1,0,1,0,"O contexto responde a pergunta, mas sabendo quem é a pessoa, não é uma pergunta tão especifica."
"The Gordon and Betty Moore Foundation renewed its support for WRI’s Global Forest Watch Pro platform that offers the latest data, technology and tools to empower people everywhere to better protect forests.",What is the purpose of the Global Forest Watch Pro platform?,"It offers the latest data, technology, and tools to empower people to better protect forests.",ESGBERT/environment_data,none,1,1,1,0,0,"O contexto responde a pergunta, mas ela não me parece ser tão especifica ao ponto do contexto ser estritamente necessário."
"As leaders in the industry, we feel we have a responsibility to support only suppliers who mirror our commitment to strong social and environmental practices, and this enhancement helps us deliver on this commitment.",What responsibility do the leaders emphasize regarding their suppliers?,The leaders emphasize the responsibility to support only suppliers who mirror their commitment to strong social and environmental practices.,ESGBERT/social_data,none,1,1,1,1,1,Pergunta geral sobre o contexto ESG.
"small-scale fisheries management, these fisheries are more likely to be sustainable, and the benefits more fairly distributed.",What impact does proper management have on the sustainability of small-scale fisheries?,Proper management of small-scale fisheries increases the likelihood that these fisheries will be sustainable.,ESGBERT/governance_data,none,1,1,1,1,1,"Pergunta bem generalizada. O contexto responde a pergunta, mas é possível responder sem ele."
* Signet continues to support legislation and processes that strengthen transparency and integrity in the trade of conflict-free minerals.,How does Signet contribute to responsible governance in the mineral supply chain?,Signet contributes by advocating for legislation and processes that promote transparency and integrity in the mineral trade.,ESGBERT/governance_data,none,1,0,1,1,0,"Possível saber da resposta, portanto que haja conhecimento sobre a Signet."
"In this report you will read about our efforts at Covenant House to fight human trafficking, about our efforts to open more beds in more cities, our the rights, lives and futures of our young people.",What broader goal does Covenant House aim to achieve for young people through its efforts?,"Covenant House aims to improve the rights, lives, and futures of young people.",ESGBERT/social_data,none,1,0,1,0,0,Possível de responder caso tenha conhecimento sobre a Covenant House.
Save Our Streams - to improve water quality and engage volunteers in water quality issues.,"What kind of engagement does the \""Save Our Streams\"" initiative seek to foster?",It seeks to engage volunteers in water quality issues.,ESGBERT/environment_data,none,1,1,0,0,0,Possível de responder sabendo sobre a iniciativa.
A critical priority was tending to the safety and well-being of our staff to ensure that we could continue to advance our mission.,What potential impact could neglecting staff safety and well-being have on an organization's mission?,Neglecting staff safety and well-being could hinder an organization's ability to function effectively and advance its mission.,ESGBERT/social_data,none,1,0,1,0,1,Pergunta bem generalizada do contexto social.
"In WCS’s four decades of leadership across coastal Patagonia, we have helped the governments of Argentina and Chile create numerous protected areas to conserve this stronghold for seabirds, elephant seals, whales, dolphins, and sharks.",How long has WCS been providing leadership in coastal Patagonia?,WCS has been providing leadership in coastal Patagonia for four decades.,ESGBERT/environment_data,none,1,1,0,1,0,Possível de responder sabendo sobre a WCS.
"2021 Annual Report 2 Earth Island Institute is a nonprofit environmental organization and fiscal sponsor to more than seventy-five projects working in the areas of conservation, energy and climate, women?s environmental leadership, international and Indigenous communities, sustainability and community resilience, and more.",What are some of the key environmental areas in which Earth Island Institute supports projects?,"Earth Island Institute supports projects in conservation, energy and climate, women’s environmental leadership, international and Indigenous communities, sustainability, and community resilience.","ESGBERT/environment_data
",none,1,1,1,0,0,Possível de responder portanto que se saiba sobre o instituto.
"This historic victory highlights Belize’s leadership in preserving ocean abundance and biodiversity, and truly valuing and protecting the livelihoods of the many people who depend on the seas.",What kind of benefits does Belize's approach aim to provide to local communities?,"It aims to protect the livelihoods of people who depend on the seas, ensuring their economic and social well-being is preserved alongside environmental conservation efforts.",ESGBERT/environment_data,none,1,1,1,1,0,Pergunta condizente e que não é tão dependente do contexto.
This year also marks the beginning of the ACLU’s second century of defending civil liberties and civil rights.,What core mission has the ACLU been committed to for the past century?,The ACLU has been committed to defending civil liberties and civil rights.,ESGBERT/social_data,none,1,0,1,1,0,"Par condizente e pergunta pode ser respondida sem o contexto, portanto que haja conhecimento sobre o ACLU"
"Based on not available, total water withdrawals for Domino's corporate stores, offices, and supply chain centers in 2019 are estimated to be 937,261 m3 (937.26 ML).","What was the total volume of water withdrawn by Domino's corporate stores, offices, and supply chain centers in 2019?","The total volume of water withdrawn was 937,261 m³, or 937.26 million liters.",ESGBERT/governance_data,none,1,1,0,0,0,"É uma pergunta meio especifica, mas como é sobre a Domino's e a pergunta não depende do contexto, não vi grandes problemas. Não entendi porque ela foi gerada n dataset governance, quando me parece uma pergunta ambiental."
"Meanwhile, the UCS Science Network continues to play an important role in bringing independent scientific and technical expertise to bear on public policy.",What role does the UCS Science Network play in public policy?,The UCS Science Network plays an important role in bringing independent scientific and technical expertise to bear on public policy.,ESGBERT/governance_data,none,1,0,1,1,0,"Acredito que a resposta poderia até ser inferida pela própria pergunta, nesse caso."
"Protecting Nature and Building Livelihoods in Alaska’s Tongass A $create new, sustainable alternatives to logging.",How does the initiative in Alaska’s Tongass contribute to environmental sustainability?,By protecting nature through the development of sustainable alternatives to logging.,ESGBERT/environment_data,none,1,1,0,0,0,Possível responder sem contexto.
"By combining our traditions and knowledge with the skills and reach of WCS, we have been able to improve our well-being and create work opportunities for our young people within the forest community, so they don’t have to leave.",What impact has the collaboration with WCS had on the forest community’s youth?,"The collaboration with WCS has created work opportunities for the young people within the forest community, allowing them to stay and improving their well-being.",ESGBERT/environment_data,none,1,0,1,0,0,A pergunta é condizente e é possível de responder sem o contexto.
"In recent years, members of Indigenous tribes in Maine, conservation groups and land management agencies have come together in an initiative known as First Light to build relationships and work toward the return and sharing of land.","What initiative have Indigenous tribes in Maine, conservation groups, and land management agencies established to work toward the return and sharing of land?",The initiative is known as First Light.,ESGBERT/governance_data,none,1,0,1,0,0,"O par é condizente, mas não vejo porque seria uma pergunta governamental."
OPPORTUNITY because of their strong programs aimed at improving the welfare standards of farmed animals and strengthening the animal advocacy movement across multiple countries.,How might OPPORTUNITY’s work influence the broader movement for animal rights?,"By improving farmed animal welfare standards and strengthening advocacy efforts internationally, OPPORTUNITY may inspire broader systemic changes in animal rights practices.",ESGBERT/environment_data,none,1,1,0,0,0,Possível responder sem contexto.
"Pay gaps are measured and corrected where necessary to align with WRI’s compensation philosophy: pay for performance, based on market, free of discrimination.",What actions does WRI take when pay gaps are identified?,"When pay gaps are identified, WRI takes corrective actions to align compensation with its philosophy of pay for performance, based on market and free of discrimination.",ESGBERT/governance_data,none,1,0,0,1,0,Possível responder sem contexto.
"Charity Navigator’s ratings show donors how efficiently they believe a charity will use their support, how well it has sustained its programs and services over time and their level of commitment to good governance, best practices and openness.",What is the purpose of Charity Navigator’s ratings for potential donors?,"The purpose of Charity Navigator’s ratings is to provide donors with insights into how efficiently a charity operates, its sustainability, and its adherence to good governance and openness.",ESGBERT/governance_data,none,1,0,1,1,0,Possível responder sem contexto.
"➤ Include Defenders as a beneficiary in your will, living trust, retirement plan, life insurance policy or other estate plan, and leave a lasting mark on wildlife and the world by helping us continue our conservation work.",What long-term impact can individuals have by making a planned gift to Defenders?,"By making a planned gift to Defenders, individuals can leave a lasting mark on wildlife and the world by helping the organization continue its conservation work.",ESGBERT/social_data,none,1,1,1,0,1,Ótimo par.
"Our Population and Sustainability team put out a groundbreaking report, Throwing Shade: Blocking Distributed Solar Development, to try to encourage states that have high potential for solar, but bad policy on it, to realize their potential.",What is the purpose of the report titled *Throwing Shade: Blocking Distributed Solar Development*?,The purpose of the report is to encourage states with high solar potential but poor solar policy to realize their potential for distributed solar development.,ESGBERT/governance_data,none,1,1,0,1,0,"Acho que o contexto mais atrapalha do que ajuda, nesse caso, já que ele fala ""Our"", ainda assim, é possível responder a pergunta sem o contexto, já que, pesquisando sobre a reportagem consegui achar ela bem facilmente."
By investors who evaluate corporate responsibility and climate risk.,What criteria do investors use to assess corporate responsibility?,Investors use criteria such as corporate responsibility and climate risk to assess companies.,ESGBERT/governance_data,none,1,0,0,1,1,O par faz sentido.
"We also want to make sure that the use of antibiotics in farm animals does not lead to antibiotic resistance in humans, which could prove to be a larger threat to human health.",What is one major concern associated with antibiotic use in livestock?,One major concern is the potential development of antibiotic resistance in humans.,ESGBERT/social_data,none,1,0,1,0,1,Pergunta geral com um par que faz sentido.
"Engaging People on Climate at WCS Parks WCS is strengthening content on climate impacts and solutions for visitors to our New York zoos and aquarium, including through inpark signage and interpretation, and in our education programs.",What methods is WCS using to educate the public about climate impacts and solutions in New York?,"WCS is using in-park signage, interpretation, and education programs to engage visitors on climate impacts and solutions.",ESGBERT/environment_data,none,1,1,0,1,0,Possível de responder pesquisando sobre.
"We must deepen our collaboration with our peers in the NGO community, with governments and other major policy drivers as well as with corporate entities across the globe.",What role can governments play in advancing ESG collaboration?,Governments can act as major policy drivers and help advance ESG collaboration by shaping supportive frameworks and policies.,ESGBERT/social_data,none,1,0,0,1,1,Pergunta geral e possível de responder.
"Acting in kinship and building community in order to seed solutions based on respect, honor, and mutual care, Seeding Sovereignt y launched the Community Defense and Land Liberation program to get security gear and essential legal self-defense training to frontline environmental protectors; filed a landmark case against the federal government on a right to wilderness; established a program to assist in the healing process of residential-school survivors amid the recent tragic discovery of thousands of murdered Indigenous children during the last century; created Medicine Wheels to meet the mental health needs of Indigenous and BIPOC youths who have been worn down and isolated by the pandemic quarantine; and opened Ancestral Acres Farm and Garden to grow food sovereignty and distribute health nutrition to food-insecure communities.",How does the Community Defense and Land Liberation program support frontline environmental protectors?,The Community Defense and Land Liberation program provides security gear and essential legal self-defense training to frontline environmental protectors.,ESGBERT/social_data,none,1,1,1,1,0,Possível de responder pesquisando sobre.
"After more than two years of UCS work with community leaders and state lawmakers, Massachusetts passed legislation with strong emissions reduction targets and complementary clean energy policies.",Which group collaborated with community leaders and lawmakers to influence Massachusetts's climate legislation?,The Union of Concerned Scientists (UCS) collaborated with community leaders and lawmakers to influence Massachusetts's climate legislation.,ESGBERT/environment_data,none,1,1,0,1,0,Possível de responder pesquisando sobre.
"Corporate Governance, Business Code of Conduct and Ethics, Corporate Governance Guidelines, Proxy Statement pg.",What document provides detailed information on a company’s governance structure?,The Corporate Governance Guidelines provide detailed information on a company’s governance structure.,ESGBERT/governance_data,none,1,0,0,1,1,A pergunta me parece ser bem geral.
"To improve employee well-being and health, Trinity offers the BE WELL program to support employees’ physical, emotional and financial wellness.",What specific areas of wellness does the BE WELL program at Trinity aim to support?,"The BE WELL program at Trinity aims to support employees' physical, emotional, and financial wellness.",ESGBERT/social_data,none,1,0,1,0,0,A pergunta é bem feita e não depende muito do contexto.
"To improve employee well-being and health, Trinity offers the BE WELL program to support employees’ physical, emotional and financial wellness.",How does Trinity demonstrate its commitment to the social dimension of ESG through its employee programs?,"Trinity demonstrates its commitment to the social dimension of ESG by offering the BE WELL program, which supports employees' physical, emotional, and financial wellness.",ESGBERT/social_data,none,1,0,1,0,0,Pergunta não depende do contexto.
services to help team members manage and optimize their health.,What kind of support can organizations provide to help team members improve their well-being?,Organizations can provide services to help team members manage and optimize their health.,ESGBERT/social_data,none,1,0,1,0,1,"É uma pergunta geral que poderia ter muitas respostas, porém como a resposta requerida é bem abrangente, acredito ser um par válido."
The planet’s intact forests pump out oxygen and hold vast stores of carbon in their biomass.,How do intact forests contribute to maintaining breathable air on Earth?,"Intact forests pump out oxygen, which is essential for maintaining breathable air on Earth.",ESGBERT/environment_data,none,1,1,0,0,1,A maioria das pessoas conseguiria responder a pergunta de maneira correta.
"The ACLU is doubling down on our redistricting work to stop gerrymandering, a dangerous political practice that harms communities across the country.",What kind of political practice is the ACLU focusing on in its redistricting work?,The ACLU is focusing on stopping gerrymandering through its redistricting work.,ESGBERT/governance_data,none,1,0,0,1,0,"Par condizente, pergunta pode ser respondida sem o contexto"
The Marine Mammal Center rescues and rehabilitates sick and injured marine mammals at our state-of-the-art veterinary facilities by engaging a dedicated workforce and a supportive community.,What role does community engagement play in the operations of The Marine Mammal Center?,Community engagement plays a crucial role by providing support that enables the center to rescue and rehabilitate marine mammals effectively.,ESGBERT/social_data,none,1,0,1,1,0,Acredito que seja possível de responder sem o contexto.
"Hannah Benet for Earthjustice With their unparalleled expertise, our attorneys continue to hold the line against the previous administration’s assault on critical protections for communities and the environment.",What kind of expertise do Earthjustice's attorneys possess?,Earthjustice's attorneys possess unparalleled expertise in environmental protection.,ESGBERT/environment_data,none,1,1,0,1,0,Possível de responder mesmo sem contexto.
